_id,step,type,amount,nameOrig,newbalanceOrig,nameDest,newbalanceDest,oldbalanceOrg,oldbalanceDest,predict
6690e3a8bde8308fcb424228,1,PAYMENT,11668.14,C2048537720,29885.86,M1230701703,0.0,41554.0,0.0,White List
6690ed7234d1f1cfa1805605,1,PAYMENT,9839.64,C1231006815,160296.36,M1979787155,0.0,170136.0,0.0,White List
6690ed7234d1f1cfa1805606,1,PAYMENT,1864.28,C1666544295,19384.72,M2044282225,0.0,21249.0,0.0,White List
6690ed7234d1f1cfa1805607,1,TRANSFER,181.0,C1305486145,0.0,C553264065,0.0,181.0,0.0,White List
6690ed7234d1f1cfa1805608,1,CASH_OUT,181.0,C840083671,0.0,C38997010,0.0,181.0,21182.0,White List
6690ed7234d1f1cfa1805609,1,PAYMENT,11668.14,C2048537720,29885.86,M1230701703,0.0,41554.0,0.0,White List
6690ed7234d1f1cfa180560a,1,PAYMENT,7817.71,C90045638,46042.29,M573487274,0.0,53860.0,0.0,White List
6690ed7234d1f1cfa180560b,1,PAYMENT,7107.77,C154988899,176087.23,M408069119,0.0,183195.0,0.0,White List
6690ed7234d1f1cfa180560c,1,PAYMENT,7861.64,C1912850431,168225.59,M633326333,0.0,176087.23,0.0,White List
6690ed7234d1f1cfa180560d,1,PAYMENT,4024.36,C1265012928,0.0,M1176932104,0.0,2671.0,0.0,White List
6690ed7234d1f1cfa180560e,1,DEBIT,5337.77,C712410124,36382.23,C195600860,40348.79,41720.0,41898.0,White List
6690ed7234d1f1cfa180560f,1,DEBIT,9644.94,C1900366749,0.0,C997608398,157982.12,4465.0,10845.0,White List
6690ed7234d1f1cfa1805610,1,PAYMENT,3099.97,C249177573,17671.03,M2096539129,0.0,20771.0,0.0,White List
6690ed7234d1f1cfa1805611,1,PAYMENT,2560.74,C1648232591,2509.26,M972865270,0.0,5070.0,0.0,White List
6690ed7234d1f1cfa1805612,1,PAYMENT,11633.76,C1716932897,0.0,M801569151,0.0,10127.0,0.0,White List
6690ed7234d1f1cfa1805613,1,PAYMENT,4098.78,C1026483832,499165.22,M1635378213,0.0,503264.0,0.0,White List
6690ed7234d1f1cfa1805614,1,CASH_OUT,229133.94,C905080434,0.0,C476402209,51513.44,15325.0,5083.0,White List
6690ed7234d1f1cfa1805615,1,PAYMENT,1563.82,C761750706,0.0,M1731217984,0.0,450.0,0.0,White List
6690ed7234d1f1cfa1805616,1,PAYMENT,1157.86,C1237762639,19998.14,M1877062907,0.0,21156.0,0.0,White List
6690ed7234d1f1cfa1805617,1,PAYMENT,671.64,C2033524545,14451.36,M473053293,0.0,15123.0,0.0,White List
6690ed7234d1f1cfa1805618,1,TRANSFER,215310.3,C1670993182,0.0,C1100439041,0.0,705.0,22425.0,White List
